question,answer/0,answer/1,answer/2,answer/3,answer/4,answer/5,answer/6,answer/7,answer/8,answer/9,answer/10,answer/11,answer/12,answer/13,answer/14,answer/15,answer/16,answer/17,answer/18,answer/19,answer/20,answer/21,answer/22
yeh hai mohabbatein serial star cast real name,Divyanka Tripathi and Karan Patel,,,,,,,,,,,,,,,,,,,,,,
where is the slide placed on the microscope,stage,on the microscope's stage,,,,,,,,,,,,,,,,,,,,,
when did mcgee became a regular on ncis,in season two,season two,,,,,,,,,,,,,,,,,,,,,
who owns the crown plaza hotel in chicago illinois,InterContinental Hotels Group,,,,,,,,,,,,,,,,,,,,,,
when was the last time the eu was audited,1994,,,,,,,,,,,,,,,,,,,,,,
the legend of heroes trails in the sky the 3rd vita,"July 14, 2016",,,,,,,,,,,,,,,,,,,,,,
when was a series of unfortunate events published,September 1999,,,,,,,,,,,,,,,,,,,,,,
who will win 2018 election in sri lanka,Sri Lanka Podujana Peramuna,,,,,,,,,,,,,,,,,,,,,,
what is the name for the ch3coo- ion,polyatomic anion,,,,,,,,,,,,,,,,,,,,,,
what type of government did the ming dynasty have,imperial rule,,,,,,,,,,,,,,,,,,,,,,
who did us fight in world war 1,Germany,Austria-Hungary,,,,,,,,,,,,,,,,,,,,,
when was rosencrantz and guildenstern are dead written,1966,,,,,,,,,,,,,,,,,,,,,,
nuclear power plant that blew up in russia,Chernobyl Nuclear Power Plant,Chernobyl,the Chernobyl Nuclear Power Plant,,,,,,,,,,,,,,,,,,,,
who sang picking up pebbles and throwing them into the sea,Matt Flinders,,,,,,,,,,,,,,,,,,,,,,
how many breeds of pigs are there in the uk,---,,,,,,,,,,,,,,,,,,,,,,
where did the battle of corinth take place,"in Corinth, Mississippi","Corinth, Mississippi",,,,,,,,,,,,,,,,,,,,,
who sings the song i'll never forget you,Mariah Carey,Zara Larsson and MNEK,Noisettes,,,,,,,,,,,,,,,,,,,,
who played shmuel in the boy in the striped pyjamas,Jack Scanlon,,,,,,,,,,,,,,,,,,,,,,
who sang rip it up and start again,Scottish post-punk band Orange Juice,Orange Juice,,,,,,,,,,,,,,,,,,,,,
what are the 4 types of nitrogenous bases,cytosine (C),adenine (A),uracil (U),thymine (T),guanine (G),,,,,,,,,,,,,,,,,,
where are alkali metals located on the periodic table,in the s-block,group 1,,,,,,,,,,,,,,,,,,,,,
where is the capital city of alabama located,Montgomery,,,,,,,,,,,,,,,,,,,,,,
what year did the us hockey team won the olympics,1960,1960 and 1980,1980,,,,,,,,,,,,,,,,,,,,
what is the order of the netflix marvel shows,Marvel's Iron Fist,Marvel's Daredevil,Marvel's The Punisher,Marvel's Jessica Jones,Marvel's The Defenders,Marvel's Luke Cage,,,,,,,,,,,,,,,,,
who did the broncos beat in the super bowl,Carolina Panthers,Atlanta Falcons,Green Bay Packers,,,,,,,,,,,,,,,,,,,,
who had created the second bank of the united states,President James Madison,James Madison,,,,,,,,,,,,,,,,,,,,,
where is the highest level of fluoride stored in the teeth,surface of the enamel,,,,,,,,,,,,,,,,,,,,,,
when was as you like it first performed,1603,,,,,,,,,,,,,,,,,,,,,,
when was the latest version of chrome released,2018-01-22,,,,,,,,,,,,,,,,,,,,,,
who made delhi as capital for the first time,the Pandavas,,,,,,,,,,,,,,,,,,,,,,
who is tinker air force base named after,Major General Clarence L. Tinker,,,,,,,,,,,,,,,,,,,,,,
when were the winnie the pooh books written,1924,1926,1927,1928,,,,,,,,,,,,,,,,,,,
what is final season of game of thrones,The eighth,eighth,the eighth season,,,,,,,,,,,,,,,,,,,,
when do new episodes of riverdale season 2 come out,"February 7, 2018","April 18, 2018","October 11, 2017",TBA,"January 31, 2018",,,,,,,,,,,,,,,,,,
where is arachidonic acid found in the body,brain,muscles,liver,,,,,,,,,,,,,,,,,,,,
who has the most all ireland hurling medals,Henry Shefflin,,,,,,,,,,,,,,,,,,,,,,
who hit the first home run in the houston astrodome,Mickey Mantle,,,,,,,,,,,,,,,,,,,,,,
when did the eagles play in the superbowl,"February 6, 2005",,,,,,,,,,,,,,,,,,,,,,
when will fairy tail final season be released,2018,,,,,,,,,,,,,,,,,,,,,,
when did seat belts become law in ontario,"January 1, 1976",,,,,,,,,,,,,,,,,,,,,,
when did response to state of the union start,in 1966,1966,,,,,,,,,,,,,,,,,,,,,
when does madea's family funeral come out,2018,,,,,,,,,,,,,,,,,,,,,,
when did canada get rid of the death penalty,"July 14, 1976",1976,1998,,,,,,,,,,,,,,,,,,,,
when does the new gotham season come out,"September 21, 2017","September 21, 2017",,,,,,,,,,,,,,,,,,,,,
who lasted the longest in the royal rumble,Rey Mysterio,,,,,,,,,,,,,,,,,,,,,,
star wars episode ii attack of the clones characters,Chancellor Palpatine / Darth Sidious,Anakin Skywalker,Mace Windu,Padmé Amidala,R2-D2,Yoda,Count Dooku / Darth Tyranus,Obi-Wan Kenobi,C-3PO,,,,,,,,,,,,,,
what does hp mean in war and order,hit points or health points,,,,,,,,,,,,,,,,,,,,,,
who is the owner of reading football club,Xiu Li Dai,Dai Xiuli,Dai Yongge,Yongge Dai,,,,,,,,,,,,,,,,,,,
who is given credit for the gnu initiative,Richard Stallman,,,,,,,,,,,,,,,,,,,,,,
who is edmund on days of our lives,Adam Caine,,,,,,,,,,,,,,,,,,,,,,
when did the nba create the 3 point line,the 1979–80 season,1979–80 season,,,,,,,,,,,,,,,,,,,,,
what is an example of a tricyclic antidepressant,Amineptine,,,,,,,,,,,,,,,,,,,,,,
when was the canadian pacific railway started and finished,between 1881 and 1885,,,,,,,,,,,,,,,,,,,,,,
who played the creature on jeepers creepers 3,Jonathan Breck,,,,,,,,,,,,,,,,,,,,,,
who plays unis in she's the man,Emily Perkins,,,,,,,,,,,,,,,,,,,,,,
who played the mom on what's eating gilbert grape,Darlene Cates,,,,,,,,,,,,,,,,,,,,,,
the fertile crescent is located between what two bodies of water,Tigris and Euphrates rivers,Tigris,Euphrates,,,,,,,,,,,,,,,,,,,,
what episode does goku give up against cell,165,180,,,,,,,,,,,,,,,,,,,,,
sri lanka belongs to which part of asia,South Asia,,,,,,,,,,,,,,,,,,,,,,
when was the first nuclear power plant opened,"December 20, 1951","June 27, 1954","On June 27, 1954",the USSR,"December 2, 1942",,,,,,,,,,,,,,,,,,
who plays the dad in nanny mcphee and the big bang,Ewan McGregor,,,,,,,,,,,,,,,,,,,,,,
when was the taming ofthe shrew first performed,prior to June 1592,,,,,,,,,,,,,,,,,,,,,,
how many languages in harry potter translated into,over 74,over 74 languages,,,,,,,,,,,,,,,,,,,,,
when was the last time giants won superbowl,2011,,,,,,,,,,,,,,,,,,,,,,
who are the co hosts on the real,Tamar Braxton,Loni Love,Adrienne Houghton,Tamera Mowry-Housley,Jeannie Mai,,,,,,,,,,,,,,,,,,
to transplant a nucleus from one cell to another cell a scientist would use,somatic cell nuclear transfer,,,,,,,,,,,,,,,,,,,,,,
when did the golden state warriors win the finals,1947,1975,1956,2015,2017,,,,,,,,,,,,,,,,,,
who plays general hux in the last jedi,Domhnall Gleeson,,,,,,,,,,,,,,,,,,,,,,
who ran the fastest 40 yard dash in the nfl,Jakeem Grant,John Ross,,,,,,,,,,,,,,,,,,,,,
when was the last time new zealand had an earthquake,11 Jul 2017,,,,,,,,,,,,,,,,,,,,,,
who is the actor that plays dr. sean murphy,Freddie Highmore,,,,,,,,,,,,,,,,,,,,,,
who played gino in a place to call home,Aldo Mignone,,,,,,,,,,,,,,,,,,,,,,
what is the pirates of the caribbean in order,On Stranger Tides,At World's End,Dead Men Tell No Tales,Dead Man's Chest,,,,,,,,,,,,,,,,,,,
what does the pearl symbolize in the bible,the Kingdom of Heaven,,,,,,,,,,,,,,,,,,,,,,
what album is sacrifice by elton john on,Sleeping with the Past.,Sleeping with the Past,,,,,,,,,,,,,,,,,,,,,
who proved that cells come from other cells,Matthias Schleiden,Robert Hooke,Robert Remak,Theodor Schwann,Rudolf Virchow,,,,,,,,,,,,,,,,,,
who holds the world record for the most world records,Ashrita Furman,,,,,,,,,,,,,,,,,,,,,,
who is the designer in devil wears prada,Valentino Garavani,,,,,,,,,,,,,,,,,,,,,,
where does dividends go on cash flow statement,the financing activities section,,,,,,,,,,,,,,,,,,,,,,
when was the 50th star added to the united states flag,1960,,,,,,,,,,,,,,,,,,,,,,
what is the ethnic background of the shib sibs,Japanese,,,,,,,,,,,,,,,,,,,,,,
name the four major layers of the earth in order,a liquid outer core,an outer silicate solid crust,a highly viscous mantle,a solid inner core,,,,,,,,,,,,,,,,,,,
how much for a passport in the philippines,$60 abroad,₱950,,,,,,,,,,,,,,,,,,,,,
who was mr.owen in and then there were none,Justice Lawrence John Wargrave,,,,,,,,,,,,,,,,,,,,,,
when did gaurdians of the galaxy 2 come out,2017,"May 5, 2017",,,,,,,,,,,,,,,,,,,,,
kings and queens of england in the 1900s,George V,George VI,Edward VIII,Elizabeth II,Edward VII,,,,,,,,,,,,,,,,,,
who made the poppies at tower of london,Paul Cummins,Tom Piper,stage designer Tom Piper,,,,,,,,,,,,,,,,,,,,
what season does bart bass die in gossip girl,),,,,,,,,,,,,,,,,,,,,,,
who is the first indian woman to be canonized as a saint,Saint Alphonsa,,,,,,,,,,,,,,,,,,,,,,
who is in charge of ratifying treaties in the us,the Executive branch,the President,Senate,the Senate,,,,,,,,,,,,,,,,,,,
what is the name of the first earthquake early warning system,1991,The Mexican Seismic Alert System,,,,,,,,,,,,,,,,,,,,,
when was the last time the military drafted,1973,1972,December 1972,,,,,,,,,,,,,,,,,,,,
how many episodes of corrie has there been,"9,436",,,,,,,,,,,,,,,,,,,,,,
when do primary ossification centers appear in an embryo,prenatal development,,,,,,,,,,,,,,,,,,,,,,
when was the biltmore house opened to the public,March 1930,,,,,,,,,,,,,,,,,,,,,,
most of new zealands land supports which economic activity,agriculture,Pastoral farming,,,,,,,,,,,,,,,,,,,,,
where does hydrogen peroxide come from in the body,nearly all living cells,,,,,,,,,,,,,,,,,,,,,,
who wrote old flames cant hold a candle to you,Pebe Sebert,Pebe Sebert and Hugh Moffatt,Patricia Rose Sebert,Hugh Moffatt,,,,,,,,,,,,,,,,,,,
where was the killing of a sacred deer filmed,Cincinnati,,,,,,,,,,,,,,,,,,,,,,
who plays hannibal in silence of the lambs,Anthony Hopkins,,,,,,,,,,,,,,,,,,,,,,
who plays the dragon queen from game of thrones,Emilia Clarke,,,,,,,,,,,,,,,,,,,,,,
when did the first ice age come out,2002,"March 15, 2002",,,,,,,,,,,,,,,,,,,,,
when was the term social justice first used,the 1840s,1840s,,,,,,,,,,,,,,,,,,,,,
when is the publishers clearing house sweepstakes drawing,just after the Super Bowl,,,,,,,,,,,,,,,,,,,,,,
who played the elephant man in the film,John Hurt,,,,,,,,,,,,,,,,,,,,,,
when was the last time the ducks won the stanley cup,(2006–07),2006–07,,,,,,,,,,,,,,,,,,,,,
where do rory and paris go to college,Yale University,"Yale University,",,,,,,,,,,,,,,,,,,,,,
who has won the eurovision song contest the most times,Ireland's Johnny Logan,Ireland,,,,,,,,,,,,,,,,,,,,,
who is the director of taarak mehta ka ooltah chashmah,Malav Suresh Rajda,Harshad Joshi,,,,,,,,,,,,,,,,,,,,,
genre of diary of a wimpy kid the getaway,Children's novel,Graphic Novel,,,,,,,,,,,,,,,,,,,,,
when is the met office leaving the bbc,31 March 2018,,,,,,,,,,,,,,,,,,,,,,
what is billy last name in where the red fern grows,Colman,Billy Colman,,,,,,,,,,,,,,,,,,,,,
who did puerto rico belong to before the u.s,Taíno,indigenous Taíno people,Spain,,,,,,,,,,,,,,,,,,,,
what is the population of st petersburg fl,"260,999","257,083",,,,,,,,,,,,,,,,,,,,,
when did the study of media effects begin,1919,1975,,,,,,,,,,,,,,,,,,,,,
who plays heather in beauty and the beast,Nicole Gale Anderson,,,,,,,,,,,,,,,,,,,,,,
how many customers does edf have in the uk,5.7 million customer accounts,5.7 million,,,,,,,,,,,,,,,,,,,,,
where does the formation of atp take place,plasma membrane in bacteria,inner mitochondrial membrane,thylakoid membrane,mitochondrial membrane in eukaryotes,,,,,,,,,,,,,,,,,,,
who is jack's mother in when calls the heart,Charlotte Thornton,,,,,,,,,,,,,,,,,,,,,,
who was the head of the spanish inquisition,Grand Inquisitor,Tomás de Torquemada,Dominican Tomás de Torquemada,,,,,,,,,,,,,,,,,,,,
what does istj mean in a personality test,Extroverted Thinking (Te),Extroverted Intuition (Ne),Introverted Sensing (Si),Introverted Feeling (Fi),,,,,,,,,,,,,,,,,,,
how many seasons are there for lost girl,5,five,,,,,,,,,,,,,,,,,,,,,
who plays artemisia in 300 rise of an empire,Caitlin Carmichael,Eva Green,Jade Chynoweth,,,,,,,,,,,,,,,,,,,,
when did the the regulatory reform (fire safety) order 2005 first come into effect,1 October 2006,,,,,,,,,,,,,,,,,,,,,,
when did the bill of rights come out,1689,16 December 1689,,,,,,,,,,,,,,,,,,,,,
when did the east india company take control of india,in 1757,1757,1799,1612,,,,,,,,,,,,,,,,,,,
who was elected president in mexico in 2000,Vicente Fox,,,,,,,,,,,,,,,,,,,,,,
when does season 6 of the next step start,2018,,,,,,,,,,,,,,,,,,,,,,
where do the sharks play in san jose,the SAP Center,SAP Center,SAP Center at San Jose,,,,,,,,,,,,,,,,,,,,
abbreviated name of the highest peak in tasmania,Mount Ossa,,,,,,,,,,,,,,,,,,,,,,
who played alex cross in along came a spider,Morgan Freeman,,,,,,,,,,,,,,,,,,,,,,
who has the most wins on around the horn,Woody Paige,,,,,,,,,,,,,,,,,,,,,,
what are the main sources of economic growth in the us currently,pharmaceuticals,heavy machinery,telecommunications,aircraft,,,,,,,,,,,,,,,,,,,
who are the australia's got talent judges,Kelly Osbourne,Ian Dickson,"Ian ""Dicko"" Dickson",Eddie Perfect,Sophie Monk,,,,,,,,,,,,,,,,,,
who sang the song i wanna be sedated,the Ramones,,,,,,,,,,,,,,,,,,,,,,
what is the setting of the book hoot,Florida,,,,,,,,,,,,,,,,,,,,,,
when is season 3 of grace and frankie being released,"March 24, 2017",,,,,,,,,,,,,,,,,,,,,,
what does the sun represent on the uruguay flag,the May Revolution of 1810,,,,,,,,,,,,,,,,,,,,,,
who was in charge of the revolutionary war,General George Washington,the king,,,,,,,,,,,,,,,,,,,,,
why was hong kong important to the british empire,a centre for international trade,,,,,,,,,,,,,,,,,,,,,,
what position did doug peterson play in the nfl,holder on placekicks,quarterback,,,,,,,,,,,,,,,,,,,,,
where is creatine phosphate found in the body,brain,pancreas,skeletal muscle and the brain,muscle cells,heart,,,,,,,,,,,,,,,,,,
criminal minds what episode does jj find out she pregnant,in April 2011,The Crossing,,,,,,,,,,,,,,,,,,,,,
when was harry potter and the philosophers stone published,in 1997,1997,,,,,,,,,,,,,,,,,,,,,
who played the twins in darling buds of may,Christina Giles,Katherine Giles,,,,,,,,,,,,,,,,,,,,,
when did skiing halfpipe become an olympic event,2014,,,,,,,,,,,,,,,,,,,,,,
who plays at the prudential center in newark,Seton Hall Pirates,New Jersey Devils,,,,,,,,,,,,,,,,,,,,,
where was the first colony in north america located,Virginia,,,,,,,,,,,,,,,,,,,,,,
during the first world war against which country germany did not fight,Austria-Hungary,,,,,,,,,,,,,,,,,,,,,,
who did the minnesota vikings lose to in the super bowl,Pittsburgh Steelers,Oakland Raiders,Miami Dolphins,Kansas City Chiefs,,,,,,,,,,,,,,,,,,,
who was the aztec ruler when the spanish arrived,Moctezuma II,emperor Cuauhtemoc,,,,,,,,,,,,,,,,,,,,,
product-market fit means being in a good market with a product that can satisfy that market,Mark Andreessen,,,,,,,,,,,,,,,,,,,,,,
who does bryce dallas howard play in the grinch,Surprised Who,,,,,,,,,,,,,,,,,,,,,,
who plays the robot on the orville show,Mark Jackson,,,,,,,,,,,,,,,,,,,,,,
the group that officially elects the president of the united states is called,the U.S. Electoral College,U.S. Electoral College,,,,,,,,,,,,,,,,,,,,,
how many wars held between india and pakistan,four,,,,,,,,,,,,,,,,,,,,,,
when was the young and the restless first aired,"March 26, 1973",,,,,,,,,,,,,,,,,,,,,,
what was the emperor name in star wars,Darth Sidious,Sheev Palpatine,,,,,,,,,,,,,,,,,,,,,
who has won 2017 women's singles korean open series badminton championship,P. V. Sindhu,,,,,,,,,,,,,,,,,,,,,,
what is the full form of cfc's,Chlorofluorocarbons,,,,,,,,,,,,,,,,,,,,,,
the most important battles in the revolutionary war,Philadelphia campaign,Yorktown campaign,Saratoga campaign,Boston campaign,Invasion of Quebec,,,,,,,,,,,,,,,,,,
who does eric end up with in gossip girl,Jenny,,,,,,,,,,,,,,,,,,,,,,
when was the first temple built in jerusalem,the mid-10th century BCE,,,,,,,,,,,,,,,,,,,,,,
when did the steel mills closed in youngstown ohio,"September 19, 1977",,,,,,,,,,,,,,,,,,,,,,
when was the last time the jets won a playoff game,2010,,,,,,,,,,,,,,,,,,,,,,
who sings the song it ain't me,Selena Gomez,American singer Selena Gomez,,,,,,,,,,,,,,,,,,,,,
is it marley and me or marley and i,Marley & Me,,,,,,,,,,,,,,,,,,,,,,
when did vat change from 17.5 to 20,4 January 2011,,,,,,,,,,,,,,,,,,,,,,
when did seattle slew win the triple crown,1977,in 1977,,,,,,,,,,,,,,,,,,,,,
who sings too much time on my hands lyrics,Tommy Shaw,,,,,,,,,,,,,,,,,,,,,,
nba record for most double doubles in a season,Tim Duncan,,,,,,,,,,,,,,,,,,,,,,
who is super bowl 2018 half time show,Justin Timberlake,,,,,,,,,,,,,,,,,,,,,,
all the motor neurons that control the skeletal muscles are,efferent nerves,Somatic motor neurons,Somatic,,,,,,,,,,,,,,,,,,,,
who became the king of ayodhya after ram,Kusha,,,,,,,,,,,,,,,,,,,,,,
who wrote lyrics for phantom of the opera,Charles Hart,Charles Hart and Richard Stilgoe,Richard Stilgoe,,,,,,,,,,,,,,,,,,,,
what album is help by the beatles on,Help!,,,,,,,,,,,,,,,,,,,,,,
who was the king of england in 1756,George II,,,,,,,,,,,,,,,,,,,,,,
where is the left anterior descending artery located,the left coronary artery,,,,,,,,,,,,,,,,,,,,,,
who does the head of the fbi report to,the Director of National Intelligence,the Attorney General,,,,,,,,,,,,,,,,,,,,,
who sings every light in the house is on,Trace Adkins,,,,,,,,,,,,,,,,,,,,,,
what is the meaning of the harp in ireland,the arms of Ireland,,,,,,,,,,,,,,,,,,,,,,
who wrote got this feeling in my body,Max Martin,Johan Schuster,Justin Timberlake,,,,,,,,,,,,,,,,,,,,
when does like cage season 2 come out,"June 22, 2018",,,,,,,,,,,,,,,,,,,,,,
when did frank sinatra first sing new york new york,1980,1979,,,,,,,,,,,,,,,,,,,,,
where was the salvation army's christmas collection kettle first introduced,San Francisco,in San Francisco,,,,,,,,,,,,,,,,,,,,,
who is jojo in horton hears a who,Jesse McCartney,,,,,,,,,,,,,,,,,,,,,,
what song is played while raising the american flag,Reveille,"""Reveille""",,,,,,,,,,,,,,,,,,,,,
this poster was created to increase support for the war effort.the poster links food rationing to,aiding the war effort,,,,,,,,,,,,,,,,,,,,,,
how many countries does cadbury sell its products,more than 50 countries worldwide,more than 50,,,,,,,,,,,,,,,,,,,,,
